Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01709.90","Other pulses n.e.c.","2002","2002","t","104400","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01709.90","Other pulses n.e.c.","2003","2003","kg/ha","815","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01709.90","Other pulses n.e.c.","2003","2003","t","142300","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01709.90","Other pulses n.e.c.","2004","2004","kg/ha","826.1","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01709.90","Other pulses n.e.c.","2004","2004","t","108300","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01709.90","Other pulses n.e.c.","2005","2005","kg/ha","756.9","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01709.90","Other pulses n.e.c.","2005","2005","t","99000","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01709.90","Other pulses n.e.c.","2006","2006","kg/ha","738.1","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01709.90","Other pulses n.e.c.","2006","2006","t","120900","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01709.90","Other pulses n.e.c.","2007","2007","kg/ha","739","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01709.90","Other pulses n.e.c.","2007","2007","t","120600","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01709.90","Other pulses n.e.c.","2008","2008","kg/ha","660.9","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01709.90","Other pulses n.e.c.","2008","2008","t","102300","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01709.90","Other pulses n.e.c.","2009","2009","kg/ha","617.6","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01709.90","Other pulses n.e.c.","2009","2009","t","110800","A","Official figure",""
